city,year,weekofyear,total_cases
iq,2010,26,6
iq,2010,27,5
iq,2010,28,8
iq,2010,29,-1
iq,2010,30,1
iq,2010,31,5
iq,2010,32,5
iq,2010,33,5
iq,2010,34,6
iq,2010,35,9
iq,2010,36,8
iq,2010,37,8
iq,2010,38,5
iq,2010,39,6
iq,2010,40,5
iq,2010,41,7
iq,2010,42,5
iq,2010,43,10
iq,2010,44,11
iq,2010,45,8
iq,2010,46,6
iq,2010,47,11
iq,2010,48,13
iq,2010,49,10
iq,2010,50,12
iq,2010,51,10
iq,2011,52,8
iq,2011,1,12
iq,2011,2,9
iq,2011,3,8
iq,2011,4,9
iq,2011,5,7
iq,2011,6,12
iq,2011,7,8
iq,2011,8,9
iq,2011,9,11
iq,2011,10,11
iq,2011,11,11
iq,2011,12,11
iq,2011,13,11
iq,2011,14,9
iq,2011,15,11
iq,2011,16,10
iq,2011,17,9
iq,2011,18,9
iq,2011,19,3
iq,2011,20,7
iq,2011,21,8
iq,2011,22,8
iq,2011,23,4
iq,2011,24,4
iq,2011,25,2
iq,2011,26,6
iq,2011,27,4
iq,2011,28,0
iq,2011,29,6
iq,2011,30,5
iq,2011,31,5
iq,2011,32,4
iq,2011,33,6
iq,2011,34,2
iq,2011,35,1
iq,2011,36,4
iq,2011,37,7
iq,2011,38,6
iq,2011,39,8
iq,2011,40,7
iq,2011,41,9
iq,2011,42,13
iq,2011,43,8
iq,2011,44,8
iq,2011,45,7
iq,2011,46,8
iq,2011,47,8
iq,2011,48,11
iq,2011,49,9
iq,2011,50,14
iq,2011,51,9
iq,2012,52,9
iq,2012,1,10
iq,2012,2,8
iq,2012,3,4
iq,2012,4,7
iq,2012,5,8
iq,2012,6,7
iq,2012,7,7
iq,2012,8,8
iq,2012,9,7
iq,2012,10,5
iq,2012,11,4
iq,2012,12,6
iq,2012,13,8
iq,2012,14,6
iq,2012,15,10
iq,2012,16,11
iq,2012,17,5
iq,2012,18,9
iq,2012,19,5
iq,2012,20,10
iq,2012,21,4
iq,2012,22,5
iq,2012,23,5
iq,2012,24,4
iq,2012,25,5
iq,2012,26,1
iq,2012,27,3
iq,2012,28,4
iq,2012,29,2
iq,2012,30,5
iq,2012,31,6
iq,2012,32,4
iq,2012,33,5
iq,2012,34,4
iq,2012,35,6
iq,2012,36,7
iq,2012,37,5
iq,2012,38,3
iq,2012,39,5
iq,2012,40,5
iq,2012,41,9
iq,2012,42,7
iq,2012,43,11
iq,2012,44,9
iq,2012,45,7
iq,2012,46,13
iq,2012,47,15
iq,2012,48,12
iq,2012,49,11
iq,2012,50,8
iq,2012,51,13
iq,2013,1,12
iq,2013,2,3
iq,2013,3,7
iq,2013,4,10
iq,2013,5,9
iq,2013,6,8
iq,2013,7,8
iq,2013,8,10
iq,2013,9,10
iq,2013,10,11
iq,2013,11,12
iq,2013,12,15
iq,2013,13,10
iq,2013,14,7
iq,2013,15,6
iq,2013,16,10
iq,2013,17,10
iq,2013,18,3
iq,2013,19,11
iq,2013,20,9
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,5
iq,2013,25,3
iq,2013,26,4
