city,year,weekofyear,total_cases
sj,2008,18,21
sj,2008,19,19
sj,2008,20,13
sj,2008,21,24
sj,2008,22,38
sj,2008,23,20
sj,2008,24,32
sj,2008,25,33
sj,2008,26,38
sj,2008,27,38
sj,2008,28,34
sj,2008,29,26
sj,2008,30,46
sj,2008,31,28
sj,2008,32,42
sj,2008,33,45
sj,2008,34,42
sj,2008,35,44
sj,2008,36,39
sj,2008,37,63
sj,2008,38,44
sj,2008,39,55
sj,2008,40,51
sj,2008,41,47
sj,2008,42,51
sj,2008,43,37
sj,2008,44,31
sj,2008,45,46
sj,2008,46,34
sj,2008,47,39
sj,2008,48,45
sj,2008,49,25
sj,2008,50,31
sj,2008,51,31
sj,2008,52,10
sj,2009,1,29
sj,2009,2,5
sj,2009,3,6
sj,2009,4,25
sj,2009,5,9
sj,2009,6,11
sj,2009,7,26
sj,2009,8,29
sj,2009,9,7
sj,2009,10,-5
sj,2009,11,34
sj,2009,12,1
sj,2009,13,8
sj,2009,14,7
sj,2009,15,5
sj,2009,16,5
sj,2009,17,16
sj,2009,18,20
sj,2009,19,3
sj,2009,20,28
sj,2009,21,20
sj,2009,22,23
sj,2009,23,36
sj,2009,24,33
sj,2009,25,39
sj,2009,26,44
sj,2009,27,28
sj,2009,28,40
sj,2009,29,35
sj,2009,30,32
sj,2009,31,37
sj,2009,32,29
sj,2009,33,43
sj,2009,34,41
sj,2009,35,53
sj,2009,36,54
sj,2009,37,34
sj,2009,38,41
sj,2009,39,39
sj,2009,40,44
sj,2009,41,54
sj,2009,42,50
sj,2009,43,44
sj,2009,44,41
sj,2009,45,32
sj,2009,46,15
sj,2009,47,37
sj,2009,48,17
sj,2009,49,36
sj,2009,50,27
sj,2009,51,35
sj,2009,52,22
sj,2010,53,28
sj,2010,1,30
sj,2010,2,32
sj,2010,3,35
sj,2010,4,24
sj,2010,5,24
sj,2010,6,23
sj,2010,7,17
sj,2010,8,41
sj,2010,9,13
sj,2010,10,38
sj,2010,11,45
sj,2010,12,20
sj,2010,13,15
sj,2010,14,41
sj,2010,15,13
sj,2010,16,38
sj,2010,17,28
sj,2010,18,45
sj,2010,19,38
sj,2010,20,43
sj,2010,21,34
sj,2010,22,62
sj,2010,23,33
sj,2010,24,43
sj,2010,25,52
sj,2010,26,42
sj,2010,27,39
sj,2010,28,54
sj,2010,29,40
sj,2010,30,41
sj,2010,31,38
sj,2010,32,68
sj,2010,33,42
sj,2010,34,56
sj,2010,35,53
sj,2010,36,61
sj,2010,37,42
sj,2010,38,39
sj,2010,39,41
sj,2010,40,45
sj,2010,41,53
sj,2010,42,39
sj,2010,43,36
sj,2010,44,45
sj,2010,45,50
sj,2010,46,21
sj,2010,47,27
sj,2010,48,25
sj,2010,49,23
sj,2010,50,13
sj,2010,51,38
sj,2011,52,21
sj,2011,1,8
sj,2011,2,28
sj,2011,3,18
sj,2011,4,8
sj,2011,5,7
sj,2011,6,5
sj,2011,7,-3
sj,2011,8,12
sj,2011,9,13
sj,2011,10,-6
sj,2011,11,12
sj,2011,12,9
sj,2011,13,27
sj,2011,14,23
sj,2011,15,14
sj,2011,16,20
sj,2011,17,1
sj,2011,18,26
sj,2011,19,16
sj,2011,20,40
sj,2011,21,41
sj,2011,22,38
sj,2011,23,37
sj,2011,24,76
sj,2011,25,53
sj,2011,26,43
sj,2011,27,39
sj,2011,28,47
sj,2011,29,48
sj,2011,30,47
sj,2011,31,56
sj,2011,32,47
sj,2011,33,48
sj,2011,34,58
sj,2011,35,47
sj,2011,36,43
sj,2011,37,52
sj,2011,38,49
sj,2011,39,51
sj,2011,40,50
sj,2011,41,44
sj,2011,42,46
sj,2011,43,40
sj,2011,44,38
sj,2011,45,20
sj,2011,46,30
sj,2011,47,40
sj,2011,48,40
sj,2011,49,12
sj,2011,50,21
sj,2011,51,16
sj,2012,52,14
sj,2012,1,21
sj,2012,2,14
sj,2012,3,19
sj,2012,4,8
sj,2012,5,8
sj,2012,6,6
sj,2012,7,9
sj,2012,8,14
sj,2012,9,6
sj,2012,10,6
sj,2012,11,12
sj,2012,12,2
sj,2012,13,26
sj,2012,14,30
sj,2012,15,19
sj,2012,16,54
sj,2012,17,36
sj,2012,18,34
sj,2012,19,30
sj,2012,20,25
sj,2012,21,22
sj,2012,22,21
sj,2012,23,31
sj,2012,24,25
sj,2012,25,32
sj,2012,26,41
sj,2012,27,48
sj,2012,28,45
sj,2012,29,39
sj,2012,30,31
sj,2012,31,36
sj,2012,32,44
sj,2012,33,42
sj,2012,34,41
sj,2012,35,41
sj,2012,36,34
sj,2012,37,32
sj,2012,38,37
sj,2012,39,38
sj,2012,40,54
sj,2012,41,40
sj,2012,42,44
sj,2012,43,48
sj,2012,44,39
sj,2012,45,51
sj,2012,46,53
sj,2012,47,31
sj,2012,48,25
sj,2012,49,38
sj,2012,50,24
sj,2012,51,15
sj,2013,1,12
sj,2013,2,12
sj,2013,3,24
sj,2013,4,5
sj,2013,5,24
sj,2013,6,0
sj,2013,7,12
sj,2013,8,13
sj,2013,9,5
sj,2013,10,0
sj,2013,11,42
sj,2013,12,13
sj,2013,13,11
sj,2013,14,41
sj,2013,15,18
sj,2013,16,4
sj,2013,17,24
